city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,homeowner_tax,rent_amount,property_tax,fire_insurance,total
Belo Horizonte,45,1,1,1,4,not acept,furnished,300,3200,0,43,3543
Sao Paulo,200,3,4,3,1,acept,not furnished,3500,8500,1250,108,13360
Sao Paulo,42,1,1,1,14,not acept,not furnished,0,5000,0,64,5064
Sao Paulo,280,4,4,1,1,acept,furnished,3000,8000,292,102,11390
Sao Paulo,28,1,1,1,13,not acept,furnished,615,2800,42,36,3493
Belo Horizonte,85,3,2,1,1,acept,not furnished,337,1500,88,20,1945
Campinas,83,1,1,1,4,not acept,not furnished,500,1080,59,14,1653
Campinas,85,3,2,2,16,acept,furnished,550,3300,150,42,4042
Belo Horizonte,90,3,2,2,3,acept,not furnished,325,1600,105,22,2052
Belo Horizonte,50,2,1,0,5,acept,not furnished,0,900,100,12,1012
Rio de Janeiro,50,1,1,0,8,acept,not furnished,600,2900,134,38,3672
Porto Alegre,39,1,1,0,7,acept,not furnished,350,850,27,13,1240
Porto Alegre,60,2,1,0,1,acept,not furnished,222,1100,46,17,1385
Rio de Janeiro,68,2,1,0,4,not acept,not furnished,750,1250,9,17,2026
Sao Paulo,90,2,2,1,6,acept,furnished,900,6500,89,83,7572
Sao Paulo,123,2,2,2,6,acept,not furnished,1800,2990,625,38,5453
Rio de Janeiro,70,2,2,1,7,acept,furnished,585,1719,77,23,2404
Sao Paulo,35,1,1,1,8,acept,furnished,720,3000,130,39,3889
Rio de Janeiro,170,4,5,0,10,acept,not furnished,1200,7100,639,92,9031
Rio de Janeiro,45,1,1,0,8,acept,not furnished,900,1570,98,21,2589
Porto Alegre,46,1,1,0,4,acept,not furnished,0,1040,48,16,1104
Sao Paulo,145,3,3,2,1,acept,furnished,1088,5800,250,74,7212
Belo Horizonte,59,2,2,1,2,acept,not furnished,190,1100,59,15,1364
Belo Horizonte,225,4,3,0,8,acept,not furnished,1850,7500,466,100,9916
Sao Paulo,210,4,4,3,3,acept,not furnished,2270,4675,1110,60,8115
Sao Paulo,220,3,4,3,2,not acept,not furnished,2500,5150,1250,66,8966
Sao Paulo,109,3,2,2,7,acept,not furnished,1746,2500,134,32,4412
Belo Horizonte,95,2,1,1,3,acept,not furnished,646,1000,120,14,1780
Sao Paulo,480,4,6,5,9,acept,not furnished,6660,15000,3063,191,24910
Sao Paulo,53,1,1,1,3,acept,not furnished,694,4390,200,56,5340
Sao Paulo,50,1,1,1,4,acept,furnished,500,3223,100,41,3864
Porto Alegre,64,2,2,2,7,not acept,not furnished,450,1500,50,22,2022
Rio de Janeiro,140,3,3,2,4,acept,furnished,2280,12000,535,155,14970
Sao Paulo,121,3,3,1,12,acept,not furnished,800,2040,334,26,3200
Campinas,43,1,1,1,4,acept,furnished,498,2100,84,27,2709
Sao Paulo,20,1,1,1,3,not acept,furnished,1700,1360,0,18,3078
Campinas,58,2,1,1,3,acept,not furnished,289,950,11,13,1263
Sao Paulo,88,2,1,1,2,acept,not furnished,980,2790,0,36,3806
Sao Paulo,89,3,2,2,19,acept,not furnished,900,6000,184,77,7161
Porto Alegre,47,1,1,1,1,not acept,furnished,400,2200,0,33,2633
Rio de Janeiro,40,1,1,0,1,acept,furnished,386,1950,91,26,2453
Rio de Janeiro,60,1,2,1,3,acept,not furnished,400,750,80,10,1240
Sao Paulo,25,1,1,0,14,acept,not furnished,257,1650,0,21,1928
Porto Alegre,50,2,1,0,13,acept,not furnished,340,1130,30,17,1517
Porto Alegre,90,3,1,0,1,acept,not furnished,145,1130,55,17,1347
Sao Paulo,173,3,3,3,2,acept,not furnished,3000,2000,825,26,5851
Campinas,91,3,2,2,12,acept,not furnished,700,2250,175,29,3154
Sao Paulo,90,3,2,2,6,not acept,not furnished,1710,1200,109,16,3035
Sao Paulo,530,5,6,4,2,acept,furnished,8300,15000,5000,191,28490
Belo Horizonte,155,1,4,0,4,not acept,not furnished,1117000,2790,64,38,1120000
Sao Paulo,296,4,5,3,3,acept,not furnished,0,15000,0,191,15190
Sao Paulo,87,3,2,1,17,acept,not furnished,850,1400,200,18,2468
Sao Paulo,136,3,3,3,13,acept,not furnished,1430,4206,364,54,6054
Sao Paulo,52,2,1,0,4,acept,not furnished,0,1340,0,17,1357
Porto Alegre,94,2,2,2,8,acept,not furnished,600,2900,230,43,3773
Rio de Janeiro,300,4,5,3,7,acept,not furnished,3850,12750,750,165,17520
Rio de Janeiro,100,3,3,1,3,acept,not furnished,850,3229,100,42,4221
Sao Paulo,240,3,4,3,3,acept,furnished,3600,4950,1000,63,9613
Sao Paulo,350,4,5,4,15,acept,furnished,2700,4590,1334,59,8683
Sao Paulo,75,2,2,0,2,acept,not furnished,570,1450,0,19,2039
Sao Paulo,155,3,2,3,4,acept,furnished,2600,11700,667,149,15120
Sao Paulo,260,3,5,4,12,acept,not furnished,2227,6000,1468,77,9772
Rio de Janeiro,85,3,1,1,6,acept,not furnished,810,1998,87,26,2921
Sao Paulo,120,2,2,2,22,not acept,furnished,1400,3500,375,45,5320
Sao Paulo,240,4,5,4,6,not acept,not furnished,1869,3500,717,45,6131
Sao Paulo,33,1,1,1,14,acept,furnished,600,2800,112,36,3548
Rio de Janeiro,48,1,1,0,1,not acept,not furnished,626,1020,53,14,1713
Rio de Janeiro,36,1,1,0,5,acept,not furnished,350,1130,42,15,1537
Campinas,75,2,1,1,2,acept,not furnished,670,1200,121,16,2007
Rio de Janeiro,46,2,1,0,3,not acept,not furnished,270,1600,0,21,1891
Porto Alegre,131,3,3,1,10,acept,furnished,1625,1750,121,26,3522
Campinas,90,3,2,1,3,acept,not furnished,920,1300,129,17,2366
Rio de Janeiro,26,1,1,0,4,not acept,not furnished,390,1650,120,22,2182
Rio de Janeiro,44,1,1,0,3,acept,furnished,400,1100,14,15,1529
Sao Paulo,80,2,1,0,1,not acept,not furnished,0,1100,0,14,1114
Campinas,70,1,1,0,6,acept,not furnished,500,800,30,11,1341
Rio de Janeiro,60,2,1,1,5,acept,not furnished,690,1500,25,20,2235
Sao Paulo,270,4,4,4,5,acept,not furnished,4500,12850,1834,163,19350
Rio de Janeiro,70,2,1,1,3,acept,not furnished,800,1300,44,17,2161
Sao Paulo,220,4,5,3,14,acept,furnished,2050,12000,750,153,14950
Porto Alegre,64,2,2,2,7,acept,not furnished,450,1600,34,24,2108
Rio de Janeiro,80,3,3,1,7,not acept,not furnished,1100,1470,0,19,2589
Sao Paulo,56,1,1,0,9,acept,furnished,625,2500,81,32,3238
Sao Paulo,161,4,3,2,1,acept,not furnished,1450,10000,467,127,12040
Sao Paulo,280,4,5,4,6,not acept,not furnished,2500,3200,750,41,6491
Porto Alegre,96,3,2,0,2,acept,not furnished,408,2100,84,31,2623
Campinas,236,3,4,4,10,acept,not furnished,1600,11000,440,140,13180
Sao Paulo,81,3,2,1,4,acept,not furnished,204,1510,0,20,1734
Sao Paulo,62,2,1,1,1,acept,not furnished,580,1650,92,21,2343
Belo Horizonte,125,3,2,0,2,acept,not furnished,150,1200,69,16,1435
Sao Paulo,37,1,1,1,6,acept,furnished,890,4150,110,53,5203
Sao Paulo,60,2,2,1,11,acept,not furnished,1680,4000,200,51,5931
Sao Paulo,230,4,2,3,1,acept,not furnished,3600,5000,1551,64,10220
Sao Paulo,210,4,5,2,1,acept,furnished,3800,8500,0,108,12410
Belo Horizonte,135,4,3,2,2,not acept,not furnished,868,2450,308,33,3659
Porto Alegre,92,2,2,1,2,acept,not furnished,450,1700,67,25,2242
Sao Paulo,412,3,5,6,21,acept,not furnished,2000,3952,459,51,6462
Sao Paulo,42,1,1,1,27,acept,not furnished,560,5300,100,68,6028
Sao Paulo,33,1,1,0,12,not acept,furnished,385,3000,125,39,3549
Sao Paulo,165,4,3,3,10,acept,furnished,2440,6300,1292,80,10110
Porto Alegre,44,1,1,0,5,acept,not furnished,355,1200,20,18,1593
Sao Paulo,60,2,1,1,4,acept,not furnished,603,1275,109,17,2004
Sao Paulo,380,3,3,2,1,acept,not furnished,3580,11000,1084,140,15800
Rio de Janeiro,73,2,1,0,4,acept,not furnished,375,830,120,11,1336
Belo Horizonte,19,1,1,0,5,acept,not furnished,620,1100,85,15,1820
Campinas,230,3,5,4,6,acept,not furnished,1800,7500,0,96,9396
Porto Alegre,37,1,1,1,2,acept,not furnished,500,2500,0,37,3037
Sao Paulo,124,3,2,3,7,acept,not furnished,1450,6600,300,84,8434
Rio de Janeiro,115,3,2,1,8,acept,furnished,1090,2680,114,35,3919
Porto Alegre,35,1,1,0,1,acept,not furnished,100,815,17,12,944
Belo Horizonte,15,1,1,0,3,not acept,furnished,0,1100,0,15,1115
Campinas,80,3,2,1,2,acept,not furnished,570,1450,125,19,2164
Porto Alegre,48,1,1,0,4,acept,not furnished,200,700,38,11,949
Belo Horizonte,96,3,2,1,2,acept,not furnished,922,1500,137,20,2579
Sao Paulo,150,3,2,1,7,acept,furnished,1843,6715,340,86,8984
Belo Horizonte,105,3,2,2,2,not acept,not furnished,1681,3300,390,44,5415
Belo Horizonte,204,4,4,4,22,not acept,furnished,2701,10000,760,134,13600
Rio de Janeiro,125,3,1,2,11,acept,not furnished,1317,2600,170,33,4120
Rio de Janeiro,50,2,1,0,3,not acept,not furnished,490,2300,50,30,2870
Sao Paulo,300,3,4,3,7,acept,furnished,3000,2000,1250,26,6276
Rio de Janeiro,130,3,4,1,2,not acept,not furnished,1200,1400,334,19,2953
Sao Paulo,120,2,3,0,2,acept,not furnished,904,3300,195,42,4441
Sao Paulo,540,3,3,4,9,acept,not furnished,6200,15000,3500,191,24890
Sao Paulo,23,1,1,0,23,acept,not furnished,392,2100,41,27,2560
Sao Paulo,72,1,2,2,19,acept,not furnished,900,4000,200,51,5151
Rio de Janeiro,95,3,2,2,7,acept,not furnished,985,2300,122,30,3437
Sao Paulo,330,4,5,4,13,acept,not furnished,2870,10000,1119,127,14120
Sao Paulo,75,2,2,2,7,not acept,furnished,1600,6600,400,84,8684
Sao Paulo,53,1,1,1,4,acept,not furnished,690,4398,200,56,5344
Sao Paulo,178,3,2,1,2,not acept,not furnished,1200,1900,180,25,3305
Sao Paulo,50,2,1,1,4,acept,not furnished,520,1200,30,16,1766
Sao Paulo,210,3,4,4,13,not acept,not furnished,3150,12000,1155,153,16460
Belo Horizonte,75,3,2,1,4,acept,not furnished,600,1500,75,20,2195
Belo Horizonte,200,2,4,3,12,acept,not furnished,1897,15000,827,200,17920
Porto Alegre,49,2,1,1,7,acept,not furnished,360,1150,30,17,1557
Porto Alegre,40,1,1,0,4,not acept,furnished,0,2000,0,30,2030
Sao Paulo,45,1,1,1,2,not acept,furnished,1900,4200,350,54,6504
Sao Paulo,46,1,1,1,8,not acept,furnished,900,7600,118,97,8715
Sao Paulo,80,2,2,2,15,acept,not furnished,2000,11000,0,140,13140
Sao Paulo,30,1,1,0,3,acept,furnished,400,2850,0,37,3287
Rio de Janeiro,105,2,2,1,10,acept,not furnished,1780,1530,134,20,3464
Belo Horizonte,105,3,2,2,7,acept,not furnished,1170,2000,219,27,3416
Porto Alegre,120,3,3,2,5,acept,not furnished,800,3000,167,44,4011
Sao Paulo,60,2,2,1,11,acept,not furnished,647,4000,21,51,4719
Sao Paulo,90,2,1,1,1,acept,not furnished,1000,3000,50,39,4089
Rio de Janeiro,53,2,1,0,3,not acept,not furnished,535,1800,50,24,2409
Campinas,87,4,2,2,4,acept,not furnished,784,1600,106,21,2511
Rio de Janeiro,110,3,1,1,1,acept,not furnished,557,5000,188,65,5810
Belo Horizonte,113,4,2,1,3,acept,not furnished,1587,4000,429,54,6070
Sao Paulo,170,3,2,2,5,not acept,not furnished,2199,5000,423,64,7686
Sao Paulo,150,3,2,0,1,not acept,not furnished,700,3000,42,39,3781
Porto Alegre,60,2,2,1,11,acept,not furnished,469,1500,51,22,2042
Porto Alegre,43,1,1,0,4,not acept,furnished,290,2100,66,31,2487
Sao Paulo,130,3,2,2,4,acept,furnished,800,3500,0,45,4345
Sao Paulo,69,3,2,0,7,acept,furnished,650,1900,185,25,2760
Porto Alegre,90,2,1,1,2,acept,not furnished,405,1100,380,17,1902
Sao Paulo,350,3,5,4,13,acept,not furnished,4000,3490,1750,45,9285
Belo Horizonte,168,5,3,2,2,acept,not furnished,1443,2900,408,39,4790
Rio de Janeiro,73,2,1,0,1,acept,not furnished,1600,2800,204,37,4641
Sao Paulo,378,5,5,4,4,acept,not furnished,4000,3000,2000,39,9039
Belo Horizonte,362,4,5,0,19,not acept,not furnished,4138,15000,1975,200,21310
Rio de Janeiro,42,1,1,0,4,not acept,furnished,500,1973,79,26,2578
Rio de Janeiro,56,2,1,1,18,acept,not furnished,568,1000,88,13,1669
Sao Paulo,16,1,1,0,1,not acept,not furnished,0,850,30,11,891
Sao Paulo,90,2,2,2,15,not acept,furnished,1400,10000,0,127,11530
Belo Horizonte,67,1,1,0,13,acept,not furnished,375,850,55,12,1292
Rio de Janeiro,30,1,1,0,10,acept,not furnished,850,1100,60,15,2025
Sao Paulo,266,3,3,4,10,acept,not furnished,4700,6400,1500,82,12680
Campinas,47,2,1,1,4,acept,not furnished,260,900,25,12,1197
Sao Paulo,900,4,9,8,1,acept,not furnished,0,15000,5700,226,20930
Porto Alegre,84,3,2,2,4,acept,not furnished,750,3300,100,49,4199
Sao Paulo,37,1,1,0,3,not acept,furnished,470,3500,127,45,4142
Campinas,73,3,1,1,4,acept,not furnished,308,850,46,11,1215
Sao Paulo,350,4,5,5,17,acept,furnished,2400,15000,2400,191,19990
Rio de Janeiro,57,1,1,0,2,acept,not furnished,200,1100,10,15,1325
Campinas,48,1,1,0,9,acept,not furnished,350,650,21,9,1030
Rio de Janeiro,30,1,1,0,8,acept,not furnished,390,800,25,11,1226
Porto Alegre,47,1,1,0,2,not acept,not furnished,300,1000,59,15,1374
Porto Alegre,60,2,1,1,3,acept,not furnished,250,800,22,12,1084
Sao Paulo,230,3,3,0,9,acept,furnished,1700,5000,109,64,6873
Rio de Janeiro,129,3,2,1,8,acept,furnished,1200,3255,167,42,4664
Sao Paulo,240,4,4,4,22,acept,not furnished,1980,6672,417,85,9154
Porto Alegre,55,1,1,0,14,acept,not furnished,700,1020,29,15,1764
Sao Paulo,250,3,4,3,8,acept,not furnished,1610,6000,1089,77,8776
Sao Paulo,200,3,2,2,19,acept,not furnished,2573,10000,1121,127,13820
Belo Horizonte,312,4,3,3,1,acept,not furnished,1498,2300,463,31,4292
Sao Paulo,72,2,2,2,9,acept,not furnished,750,2480,209,32,3471
Sao Paulo,55,2,1,0,5,acept,furnished,620,2400,24,31,3075
Rio de Janeiro,72,2,2,1,2,not acept,furnished,914,3600,133,47,4694
Sao Paulo,17,1,1,0,1,acept,not furnished,0,2700,5,35,2740
Belo Horizonte,160,3,3,2,4,acept,not furnished,150,2400,263,32,2845
Sao Paulo,214,4,4,3,5,acept,not furnished,2638,6520,1187,83,10430
Sao Paulo,136,3,2,1,10,not acept,furnished,1300,6500,267,47,8114
Porto Alegre,70,2,2,1,6,acept,not furnished,440,1900,57,28,2425
Porto Alegre,38,1,1,0,2,acept,not furnished,340,650,350,10,1350
Rio de Janeiro,67,2,1,1,2,acept,not furnished,1217,2200,130,29,3576
Sao Paulo,20,1,1,0,1,not acept,not furnished,0,1100,35,14,1149
Sao Paulo,41,1,1,0,12,acept,not furnished,290,1530,60,20,1900
Sao Paulo,50,2,1,1,7,acept,not furnished,500,1550,7,20,2077
Sao Paulo,190,3,4,4,16,acept,furnished,2849,15000,1160,191,19200
Campinas,57,1,1,1,2,acept,not furnished,605,800,66,11,1482
Porto Alegre,88,1,2,2,3,acept,not furnished,340,1600,40,24,2004
Sao Paulo,70,1,1,1,10,acept,furnished,459,3400,80,44,3983
Sao Paulo,76,2,2,0,11,acept,furnished,646,2800,0,36,3482
Rio de Janeiro,36,1,1,0,10,acept,not furnished,450,1370,29,18,1867
Porto Alegre,61,2,2,2,11,acept,not furnished,445,2500,42,37,3024
Campinas,45,1,1,1,17,acept,furnished,0,1950,0,25,1975
Sao Paulo,42,1,1,0,9,acept,furnished,1290,1500,184,20,2994
Porto Alegre,62,2,1,0,4,acept,not furnished,352,736,28,11,1127
Sao Paulo,38,2,1,0,2,acept,not furnished,90,1500,0,20,1610
